millis, stampunix, datetime, K30_CO2, CH4smV, Vbat, SHT_RH, SHT_temp, AQUA_Flux1 
Chamber is CLOSED
38726, 1776767368, 2026/04/21 10:29:28, 510, 629.9, 2705.1, 17.5, 20.8, 1
48797, 1776767378, 2026/04/21 10:29:38, 530, 659.2, 2553.7, 17.6, 20.8, 1
58870, 1776767388, 2026/04/21 10:29:48, 544, 688.5, 2495.1, 17.4, 20.7, 1
68943, 1776767398, 2026/04/21 10:29:58, 555, 722.7, 2475.6, 17.3, 20.9, 1
79109, 1776767409, 2026/04/21 10:30:09, 557, 747.1, 2465.8, 17.2, 20.8, 1
89199, 1776767419, 2026/04/21 10:30:19, 555, 766.6, 2456.1, 17.4, 20.9, 1
99275, 1776767429, 2026/04/21 10:30:29, 555, 786.1, 2451.2, 17.3, 21.0, 1
109348, 1776767439, 2026/04/21 10:30:39, 556, 800.8, 2441.4, 17.3, 21.0, 1
119421, 1776767449, 2026/04/21 10:30:49, 557, 815.4, 2436.5, 17.3, 21.1, 1
129494, 1776767459, 2026/04/21 10:30:59, 557, 820.3, 2436.5, 17.3, 21.1, 1
139567, 1776767469, 2026/04/21 10:31:09, 557, 830.1, 2426.8, 17.2, 21.1, 1
149640, 1776767479, 2026/04/21 10:31:19, 556, 835.0, 2431.6, 17.2, 21.2, 1
159715, 1776767489, 2026/04/21 10:31:29, 552, 835.0, 2426.8, 17.2, 21.3, 1
169791, 1776767499, 2026/04/21 10:31:39, 549, 839.8, 2426.8, 16.9, 21.3, 1
179864, 1776767510, 2026/04/21 10:31:50, 544, 839.8, 2426.8, 16.9, 21.3, 1
189937, 1776767520, 2026/04/21 10:32:00, 539, 839.8, 2421.9, 16.6, 21.5, 1
200010, 1776767530, 2026/04/21 10:32:10, 535, 835.0, 2417.0, 16.5, 21.4, 1
210083, 1776767540, 2026/04/21 10:32:20, 530, 839.8, 2421.9, 16.4, 21.4, 1
220156, 1776767550, 2026/04/21 10:32:30, 525, 830.1, 2412.1, 16.3, 21.5, 1
230231, 1776767560, 2026/04/21 10:32:40, 521, 830.1, 2412.1, 16.1, 21.7, 1
240304, 1776767570, 2026/04/21 10:32:50, 518, 825.2, 2412.1, 15.7, 21.6, 1
250377, 1776767580, 2026/04/21 10:33:00, 514, 815.4, 2412.1, 15.6, 21.7, 1
260450, 1776767590, 2026/04/21 10:33:10, 511, 810.5, 2417.0, 15.3, 21.7, 1
270523, 1776767600, 2026/04/21 10:33:20, 508, 805.7, 2417.0, 15.2, 21.8, 1
280596, 1776767611, 2026/04/21 10:33:31, 506, 800.8, 2412.1, 15.2, 21.8, 1
290669, 1776767621, 2026/04/21 10:33:41, 505, 795.9, 2412.1, 15.2, 21.8, 1
300745, 1776767631, 2026/04/21 10:33:51, 503, 786.1, 2407.2, 15.2, 21.7, 1
310818, 1776767641, 2026/04/21 10:34:01, 500, 781.2, 2417.0, 15.1, 21.8, 1
320892, 1776767651, 2026/04/21 10:34:11, 498, 776.4, 2402.3, 15.2, 21.7, 1
330967, 1776767661, 2026/04/21 10:34:21, 497, 766.6, 2407.2, 15.2, 21.7, 1
341040, 1776767671, 2026/04/21 10:34:31, 497, 761.7, 2407.2, 15.3, 21.8, 1
351113, 1776767681, 2026/04/21 10:34:41, 496, 761.7, 2407.2, 15.3, 21.8, 1
361186, 1776767691, 2026/04/21 10:34:51, 495, 752.0, 2407.2, 15.3, 21.9, 1
