gpsID,plotID,CAVM Class,Site,Upland/Wetland,Shrub/Graminoid,"Shrub Height  prostrate <40cm, low 40-100cm, tall>100",Tussock/No,Moss? (>30%ish),Moisture %,Elevation,ML Notes,Site,plotID,Water,Barren,G3,Sedge,Shrub,Ratio,Primary,Secondary,Tertiary,ML Class,Match? review,Distance to Water,Alt Distance,Elevation (25cm),Base Elevation,Elevation Dif
318,1,G3,WC,upland,grass,prostrate,no,,43.6,41,,WC,1,0,0,477,0,0,0:0:10:0:0,G3,Water,Barren,G3,primary,117.5,58.6,47.72,41.59,6.13
319,2,G3,WC,upland,grass,prostrate,no,,26.3,41.2,,WC,2,0,0,477,0,0,0:0:10:0:0,G3,Water,Barren,G3,,104.3,52.9,47.35,41.59,5.76
320,3,G3,WC,upland,grass,prostrate,no,,47.1,40.3,,WC,3,0,0,478,0,0,0:0:10:0:0,G3,Water,Barren,G3,,89,52.4,46.9,41.59,5.31
321,4,G3,WC,upland,grass,prostrate,no,,53.6,39.8,,WC,4,0,0,479,0,0,0:0:10:0:0,G3,Water,Barren,G3,,50.2,,45.07,41.59,3.48
322,5,G3 ,WC,upland,shrub,prostrate,no,yes,37.4,35.2,pretty shrubby,WC,5,0,0,36,439,0,0:0:1:10:0,Sedge,G3,Water,G3,secondary,15.7,,43.14,41.59,1.55
323,6,W3,WC,upland,grass,low,no,,1.8,37.6,,WC,6,0,0,41,441,0,0:0:1:10:0,Sedge,G3,Water,W3,*****class dif,1.9,,42.14,41.59,0.55
324,7,W3,WC,wet,grass,,no,yes,77.4,36.4,,WC,7,0,0,17,404,0,0:0:0:10:0,Sedge,G3,Water,W3,*****,3.8,,41.6,41.59,0.01
325,8,Water,WC,wet,grass,low,no,yes,56.9,37.1,pic on Gaia GPS and noted as submerged moss peatland hollow,WC,8,0,14,45,423,0,0:0:1:10:0,Sedge,G3,Barren,Water,no pic,0.2,,41.69,41.59,0.1
326,9,G3,WC,wet,grass,,no,,51.5,41,low-sedge dominated area in uplands - looks like W3se,WC,9,0,0,478,0,0,0:0:10:0:0,G3,Water,Barren,G3,,83.3,,45.97,42.27,3.7
327,10,G3,WC,wet,grass,prostrate,no,yes,48.4,40.5,,WC,10,0,0,465,9,3,0:0:10:0:0,G3,Sedge,Shrub,G3,,115.2,,47.01,42.27,4.74
328,11,G3,WC,upland,grass,prostrate,no,,17.3,43.6,low-sedge dominated area in uplands - looks like W3se,,,,,,,,,,,,,,,,,,
329,12,G3,WC,upland,grass,,no,,54.5,43.1,,,,,,,,,,,,,,,,,,,
330,13,G3,WC,upland,grass,,no,,60.9,43.6,,,,,,,,,,,,,,,,,,,
331,14,G3,WC,upland,shrub,prostrate,no,yes,1.8,45.3,,,,,,,,,,,,,,,,,,,
332,15,G3,WC,upland,shrub,prostrate,no,yes,48.8,44.3,,,,,,,,,,,,,,,,,,,
333,16,W3sh ,WC,wet,shrub,low,no,yes,29.7,35.5,,WC,16,0,0,11,218,246,0:0:0:9:10,Shrub,Sedge,G3,W3,*****,38,,41.62,39.57,2.05
